IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
162.159.25.26,443,true,SIN,亚太,新加坡,64 ms,17817 kB/s
172.64.50.38,443,true,SIN,亚太,新加坡,62 ms,15800 kB/s
104.18.37.234,443,true,SIN,亚太,新加坡,64 ms,15503 kB/s
104.18.39.209,443,true,SIN,亚太,新加坡,63 ms,15155 kB/s
104.18.46.177,443,true,SIN,亚太,新加坡,60 ms,14561 kB/s
172.64.144.11,443,true,SIN,亚太,新加坡,63 ms,13312 kB/s
172.64.152.174,443,true,SIN,亚太,新加坡,64 ms,12083 kB/s
162.159.2.3,443,true,SIN,亚太,新加坡,64 ms,11356 kB/s
172.64.159.236,443,true,SIN,亚太,新加坡,64 ms,10189 kB/s
162.159.26.128,443,true,SIN,亚太,新加坡,64 ms,6042 kB/s
