162.159.136.233  # 53.3ms
172.66.130.241  # 55.5ms
104.16.83.89  # 72.3ms
104.18.214.73  # 80.8ms
172.66.166.169  # 86.1ms
162.159.5.241  # 87.5ms
104.21.220.49  # 89.1ms
172.64.35.185  # 89.3ms
104.16.35.185  # 90.5ms
172.67.124.249  # 90.8ms
104.19.29.185  # 90.9ms
172.64.95.65  # 91.1ms
172.66.214.73  # 91.4ms
104.21.29.177  # 91.7ms
104.25.232.41  # 91.9ms
104.21.208.73  # 92.3ms
162.159.148.209  # 92.9ms
172.66.142.217  # 93.2ms
162.159.41.169  # 93.5ms
162.159.17.217  # 93.8ms
