IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.32.160,4,4,0.00,68.21,0.33,SIN
162.159.62.141,4,4,0.00,65.50,0.00,N/A
162.159.58.68,4,4,0.00,67.45,0.00,N/A
162.159.56.129,4,4,0.00,67.47,0.00,N/A
162.159.57.26,4,4,0.00,68.27,0.00,N/A
162.159.27.14,4,4,0.00,68.64,0.00,N/A
162.159.24.48,4,4,0.00,69.74,0.00,N/A
162.159.25.143,4,4,0.00,70.07,0.00,N/A
162.159.61.231,4,4,0.00,70.13,0.00,N/A
162.159.32.127,4,4,0.00,71.76,0.00,N/A
162.159.10.94,4,4,0.00,71.98,0.00,N/A
108.162.193.208,4,4,0.00,72.04,0.00,N/A
162.159.35.160,4,4,0.00,72.33,0.00,N/A
198.41.223.176,4,4,0.00,73.20,0.00,N/A
162.159.49.219,4,4,0.00,73.86,0.00,N/A
162.159.50.57,4,4,0.00,73.93,0.00,N/A
162.159.51.224,4,4,0.00,74.12,0.00,N/A
162.159.48.18,4,4,0.00,74.13,0.00,N/A
162.159.36.97,4,4,0.00,75.10,0.00,N/A
162.159.26.100,4,4,0.00,75.15,0.00,N/A
162.159.34.2,4,4,0.00,76.24,0.00,N/A
162.159.33.50,4,4,0.00,76.33,0.00,N/A
162.159.46.202,4,4,0.00,78.72,0.00,N/A
162.159.41.59,4,4,0.00,80.08,0.00,N/A
108.162.198.164,4,4,0.00,80.25,0.00,N/A
198.41.219.239,4,4,0.00,175.81,0.00,N/A
104.17.84.122,4,4,0.00,182.77,0.00,N/A
104.18.69.252,4,4,0.00,183.54,0.00,N/A
104.17.17.34,4,4,0.00,183.65,0.00,N/A
104.16.50.83,4,4,0.00,184.36,0.00,N/A
104.18.16.102,4,4,0.00,184.38,0.00,N/A
104.16.83.4,4,4,0.00,184.88,0.00,N/A
104.16.101.16,4,4,0.00,185.27,0.00,N/A
104.17.33.138,4,4,0.00,185.50,0.00,N/A
104.16.5.161,4,4,0.00,186.09,0.00,N/A
104.17.88.97,4,4,0.00,186.22,0.00,N/A
104.19.226.94,4,4,0.00,186.64,0.00,N/A
104.18.95.120,4,4,0.00,186.66,0.00,N/A
104.19.55.54,4,4,0.00,186.71,0.00,N/A
104.17.28.159,4,4,0.00,186.85,0.00,N/A
162.159.82.149,4,4,0.00,186.93,0.00,N/A
141.101.90.127,4,4,0.00,186.93,0.00,N/A
104.18.86.188,4,4,0.00,187.12,0.00,N/A
104.16.89.146,4,4,0.00,187.16,0.00,N/A
104.16.3.151,4,4,0.00,187.20,0.00,N/A
104.19.72.117,4,4,0.00,187.33,0.00,N/A
104.19.251.112,4,4,0.00,187.42,0.00,N/A
104.18.105.91,4,4,0.00,187.46,0.00,N/A
104.16.27.242,4,4,0.00,187.47,0.00,N/A
104.16.49.137,4,4,0.00,187.54,0.00,N/A
104.17.142.128,4,4,0.00,187.56,0.00,N/A
104.18.133.82,4,4,0.00,187.81,0.00,N/A
104.16.4.213,4,4,0.00,187.87,0.00,N/A
104.19.152.29,4,4,0.00,188.07,0.00,N/A
104.16.56.29,4,4,0.00,188.24,0.00,N/A
104.16.1.200,4,4,0.00,188.26,0.00,N/A
162.159.81.187,4,4,0.00,188.43,0.00,N/A
104.17.93.68,4,4,0.00,188.45,0.00,N/A
104.16.100.179,4,4,0.00,188.52,0.00,N/A
104.18.124.167,4,4,0.00,188.67,0.00,N/A
104.16.35.170,4,4,0.00,189.13,0.00,N/A
198.41.202.45,4,4,0.00,189.92,0.00,N/A
104.17.136.130,4,4,0.00,190.13,0.00,N/A
104.16.2.85,4,4,0.00,190.14,0.00,N/A
104.16.20.249,4,4,0.00,190.57,0.00,N/A
104.16.70.182,4,4,0.00,190.69,0.00,N/A
198.41.216.241,4,4,0.00,190.92,0.00,N/A
190.93.244.238,4,4,0.00,190.95,0.00,N/A
104.17.3.75,4,4,0.00,191.00,0.00,N/A
104.16.255.208,4,4,0.00,191.09,0.00,N/A
162.159.192.115,4,4,0.00,191.39,0.00,N/A
104.16.123.157,4,4,0.00,191.66,0.00,N/A
104.18.11.100,4,4,0.00,191.73,0.00,N/A
104.16.85.62,4,4,0.00,192.04,0.00,N/A
162.159.195.207,4,4,0.00,192.31,0.00,N/A
104.16.24.166,4,4,0.00,192.78,0.00,N/A
162.159.201.28,4,4,0.00,193.27,0.00,N/A
104.19.45.172,4,4,0.00,193.56,0.00,N/A
104.19.80.235,4,4,0.00,193.56,0.00,N/A
104.18.136.106,4,4,0.00,193.57,0.00,N/A
104.16.81.136,4,4,0.00,193.62,0.00,N/A
104.16.26.228,4,4,0.00,193.80,0.00,N/A
104.16.250.141,4,4,0.00,194.39,0.00,N/A
104.16.43.11,4,4,0.00,194.75,0.00,N/A
104.16.110.166,4,4,0.00,200.65,0.00,N/A
104.16.113.56,4,4,0.00,208.31,0.00,N/A
162.159.196.102,4,4,0.00,211.40,0.00,N/A
104.17.121.213,4,4,0.00,214.36,0.00,N/A
104.20.18.6,4,4,0.00,217.32,0.00,N/A
162.159.149.222,4,4,0.00,219.97,0.00,N/A
104.21.115.182,4,4,0.00,223.15,0.00,N/A
162.159.94.235,4,4,0.00,223.77,0.00,N/A
162.159.151.241,4,4,0.00,227.11,0.00,N/A
104.21.77.154,4,4,0.00,227.61,0.00,N/A
162.159.159.21,4,4,0.00,230.87,0.00,N/A
104.21.8.207,4,4,0.00,232.12,0.00,N/A
104.20.20.123,4,4,0.00,233.02,0.00,N/A
104.21.23.163,4,4,0.00,234.23,0.00,N/A
104.21.13.113,4,4,0.00,235.65,0.00,N/A
104.21.2.187,4,4,0.00,238.64,0.00,N/A
104.21.1.140,4,4,0.00,240.46,0.00,N/A
162.159.91.151,4,4,0.00,240.88,0.00,N/A
188.114.96.228,4,4,0.00,242.88,0.00,N/A
104.21.19.93,4,4,0.00,245.36,0.00,N/A
